№|Номер|Начальная остановка|Конечная остановка|Количество|Начальное время|Конечное время|Цена
1|90|Depo1|LDP"Spartak2"|5|06.00|22.00|35
2|10|Depo2|mkr.Baltika|10|07.00|19.30|35
3|20|Pos.Poteryaevka|TC"Volna"|3|05.30|17.30|135
4|3|Pos.Nalchik|Pos.Lesnoe|2|04.20|22.10|350
5|6|Depo3|Pos.Konuhi|4|07.30|18.00|35
6|5|RinokYantarni|Pos.Yuzhni|15|05.00|13.00|100
7|7|Depo4|Pos.Gorniy|5|06.15|20.30|45
8|8|Depo5|mkr.Zvezda|6|07.10|19.45|50
9|11|mkr.Yuzhniy|TC"Ocean"|4|05.45|18.20|120
10|12|Pos.Ozero|LDP"Zapadniy"|3|04.50|21.15|320
11|13|Pos.Rechnoy|mkr.Vostok|6|06.30|17.40|90
12|14|Pos.Snegiri|mkr.Aeroport|7|05.20|16.50|75
13|15|Pos.Lugovoe|TC"Globus"|6|07.45|19.00|110
14|16|Pos.Beregovoe|mkr.Nautilus|4|06.00|20.00|60
15|17|Pos.Kurgan|TC"Mir"|5|05.15|18.30|105
16|18|Pos.Dalniy|mkr.Elbrus|3|04.40|21.30|340
17|19|Pos.Polevoy|mkr.Tayezhniy|6|07.20|17.10|85
18|21|mkr.Lesnoy|Pos.Privokzalniy|4|06.45|19.20|65
19|22|mkr.Solnechniy|Pos.Urochishche|5|05.50|18.45|95
20|23|mkr.Chaykovskogo|Pos.Rodniki|3|06.10|20.15|125
21|24|Pos.Verbovka|mkr.Sosnoviy Bor|7|05.30|17.00|70
22|25|Pos.Kashirskaya|mkr.Metrograd|6|07.30|19.10|80
23|26|Pos.Krestovka|mkr.Podgorniy|4|06.20|18.50|115
24|27|Pos.Beloyarsk|mkr.Khimikov|5|05.40|17.30|90
25|28|Pos.Yantarnaya|mkr.Pribrezhniy|3|04.30|21.45|310
26|29|Pos.Kalinino|mkr.Vostochniy|6|07.15|18.00|75
27|30|Pos.Berezovka|mkr.Snegirievka|4|06.50|19.30|60
28|31|Pos.Zarechniy|mkr.Zhuravlevka|5|05.05|17.20|100
29|32|Pos.Lesnaya|mkr.Uralskiy|3|06.05|20.20|330
30|33|Pos.Stepnoy|mkr.Kamensk|7|07.00|17.50|85
31|34|Pos.Oktyabrskiy|mkr.Proletarskiy|6|05.25|18.10|95
32|35|Pos.Sadoviy|mkr.Frunzenskiy|4|06.35|19.40|65
33|36|Pos.Kirova|mkr.Lenina|5|07.25|19.05|70
34|37|Pos.Pushkinskaya|mkr.Petrovskiy|3|05.10|20.50|325
35|38|Pos.Centralnaya|mkr.Iskra|6|06.15|18.40|80
36|39|Pos.Mira|mkr.Spartak|4|07.10|19.25|55
37|40|Pos.Svobodi|mkr.Oktjabr|5|05.55|17.45|90
38|41|Pos.Trudovaya|mkr.Kommunarov|3|06.25|21.00|315
39|42|Pos.Zavodskaya|mkr.Stroiteley|7|07.05|17.35|75
40|43|Pos.Kurchatova|mkr.Energetikov|6|05.35|18.25|85
41|44|Pos.Marata|mkr.Nepryadi|4|06.40|19.15|60
42|45|Pos.Komarovo|mkr.Yaseni|5|07.15|19.00|95
43|46|Pos.Korolevka|mkr.Avtogennaya|3|05.45|20.40|320
44|47|Pos.Krasnodarskaya|mkr.Uralmash|6|06.00|18.30|80
45|48|Pos.Lazurnaya|mkr.Chkalovskiy|4|07.20|19.50|55
46|49|Pos.Michurinsk|mkr.Aleutskiy|5|05.15|17.25|100
47|50|Pos.Chernyshevskaya|mkr.Petrogradskiy|3|06.30|21.20|335
48|51|Pos.Kuibysheva|mkr.Kuybyshevskiy|7|07.10|18.15|70
49|52|Pos.Stepanova|mkr.Sedoy|6|05.50|18.05|85
50|53|Pos.Lavrentieva|mkr.Zavodskoy|4|06.55|19.35|65
51|54|Pos.Marksa|mkr.Enthusiastov|5|07.00|17.40|90
52|55|Pos.Lermontova|mkr.Pionerskiy|3|05.20|20.30|325
53|56|Pos.Gagarina|mkr.Cosmonauts|6|06.10|18.55|75
54|57|Pos.Lunacharskogo|mkr.Kulturi|4|07.25|19.45|60
55|58|Pos.Dzerzhinskogo|mkr.Peace|5|05.30|17.55|95
56|59|Pos.Orlova|mkr.Progress|3|06.45|21.10|310
57|60|Pos.Babushkina|mkr.Sputnik|7|07.15|18.20|80
58|61|Pos.Kaliningradskaya|mkr.Eureka|6|05.40|18.45|85
59|62|Pos.Komsomolskaya|mkr.Youth|4|06.35|19.20|55
60|63|Pos.Marxism|mkr.New Horizon|5|07.05|17.30|100
61|64|Pos.Leninskaya|mkr.Harmony|3|05.10|20.55|330
62|65|Pos.Kalinovka|mkr.Forward|6|06.20|18.35|70
63|66|Pos.Berezniki|mkr.Respublikanskiy|4|07.30|19.10|65
64|67|Pos.Kholodnaya Rechka|mkr.University|5|05.55|17.45|90
65|68|Pos.Kholodnaya Gora|mkr.Science|3|06.15|21.25|315
66|69|Pos.Kholodnaya Dolina|mkr.Technopolis|7|07.20|18.00|75
67|70|Pos.Topolevo|mkr.Innovation|6|05.25|18.25|85
68|71|Pos.Yarovoe|mkr.Creative|4|06.40|19.05|60
69|72|Pos.Borisoglebsk|mkr.Happiness|5|07.10|17.50|95
70|73|Pos.Borisovka|mkr.Health|3|05.35|20.45|320
71|74|Pos.Borovoe|mkr.Kindness|6|06.05|18.40|70
72|75|Pos.Borovitsa|mkr.Unity|4|07.25|19.30|55
73|76|Pos.Borodino|mkr.Laboratory|5|05.45|17.20|100
74|77|Pos.Bragin|mkr.Ecology|3|06.30|21.15|335
75|78|Pos.Brekhov|mkr.Green|6|07.15|18.10|80
76|79|Pos.Brestskaya|mkr.Blue|4|05.15|18.50|85
77|80|Pos.Brianskaya|mkr.Yellow|5|06.50|19.25|90
78|81|Pos.Vladimirskaya|mkr.Red|3|07.00|20.35|310
79|82|Pos.Volgogradskaya|mkr.Purple|7|05.20|18.30|75
80|83|Pos.Vologodskaya|mkr.Orange|6|06.10|19.15|65
81|84|Pos.Volzhskaya|mkr.Pink|4|07.30|17.40|95
82|85|Pos.Voronezhskaya|mkr.White|5|05.30|17.55|100
83|86|Pos.Voskhod|mkr.Black|3|06.45|21.00|325
84|87|Pos.Vostochnaya|mkr.Gray|6|07.20|18.20|70
85|88|Pos.Vyborgskaya|mkr.Brown|4|05.40|18.45|55
86|89|Pos.Vyksa|mkr.Beige|5|06.35|19.30|90
87|91|Pos.Vyshniy Volochek|mkr.Golden|3|07.10|20.50|315
88|92|Pos.Gatchina|mkr.Silver|7|05.55|18.00|75
89|93|Pos.Georgievsk|mkr.Bronze|6|06.20|18.35|85
90|94|Pos.Glazov|mkr.Platinum|4|07.25|19.10|60
91|95|Pos.Gorki|mkr.Diamond|5|05.10|17.45|95
92|96|Pos.Gorlovka|mkr.Ruby|3|06.15|21.20|330
93|97|Pos.Grozny|mkr.Emerald|6|07.30|18.15|70
94|98|Pos.Dagomys|mkr.Sapphire|4|05.25|18.25|55
95|99|Pos.Dalmatovo|mkr.Amethyst|5|06.40|19.05|100
96|100|Pos.Derбent|mkr.Topaz|3|07.15|20.40|320
97|101|Pos.Desnogorsk|mkr.Opal|7|05.35|17.50|75
98|102|Pos.Devitsa|mkr.Peridot|6|06.05|18.40|85
99|103|Pos.Dimitrovgrad|mkr.Jade|4|07.20|19.30|60
100|104|Pos.Dmitriev|mkr.Onyx|5|05.45|17.20|90
101|105|Derevnya Dubrovka|Promzona "Vostok"|5|07.00|19.30|85
102|106|Zhiloy rayon "Yuzhniy"|Avtostoyanka "Kurgan"|4|05.40|18.20|60
103|107|Rinok "Zvezda"|Selkhoz "Lesnoe"|6|06.10|20.00|110
104|108|Promzona "Sever"|Depo6|3|04.50|21.00|45
105|109|Stanitsa Krasnaya|TC "Youth"|5|07.15|18.10|90
106|110|SNT "Romashka"|Derevnya Rechnaya|4|06.30|19.20|65
